	exchange	metabolite	genre1_maxbiomass	genre2_maxbiomass	iteration_added	frequency	contributor	flux	direction	added_transporter	genre1_coop_index	genre2_coop_index
0	EX_cpd10515_e	Fe+2	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
1	EX_cpd00056_e	Tpp	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
2	EX_cpd01311_e	Dethiobiotin	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
3	EX_cpd00971_e	Na+	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
4	EX_cpd00030_e	Mn2+	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
5	EX_cpd00776_e	Squalene 2,3-Oxide	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
6	EX_cpd00063_e	Ca2+	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
7	EX_cpd02090_e	Glycerophosphoglycerol	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
8	EX_cpd17005_e	Co3+	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
9	EX_cpd00254_e	Mg	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
10	EX_cpd00982_e	Fadh2	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
11	EX_cpd00205_e	K+	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
12	EX_cpd00065_e	L-Tryptophan	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
13	EX_cpd29698_e	L-ala-L-leu	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
14	EX_cpd11590_e	met-L-ala-L	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
15	EX_cpd00305_e	Thiamin	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
16	EX_cpd00156_e	L-Valine	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
17	EX_cpd15605_e	Gly-Phe	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
18	EX_cpd00644_e	Pantothenate	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
19	EX_cpd29697_e	L-ala-L-his	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
20	EX_cpd00104_e	Biotin	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
21	EX_cpd00367_e	Cytidine	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
22	EX_cpd00393_e	Folate	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
23	EX_cpd00099_e	Cl-	1000	94.76	0	0	NA	-1000	base_medium	no	NA	NA
