mouse	treatment_group	well	Live	CD45	CD11B	Neutrophils	Inflam.Monoycytes	Eosinophils	Monocytes	Ly6C_pos/MHCII	Ly6C_neg/MHCII	Macrophages	CD206	CD86_M1	Tregs	Th17cells	Th2	CD8Tcells	ILC2	ILC3
JL66_21	cooperative	B9	480051	306186	112888	15073	8743	19281	6607	34225	19086	14840	226	3614	1998	3378	3706	3408	4240	547
JL66_20	cooperative	B8	334880	210843	68245	7369	5122	8256	2907	20229	17388	14291	282	2661	1687	1740	2151	3908	2817	531
JL66_19	cooperative	B7	425995	259855	113228	26505	25164	14683	19650	16838	18441	14363	452	3129	2227	2147	3283	3801	3273	385
JL66_18	cooperative	B6	382956	228309	142719	45992	59934	14205	50794	14950	4421	1301	312	383	1594	1415	2718	1808	3067	417
JL66_17	cooperative	B5	427947	261388	152534	57769	60866	13897	52043	12773	4188	1888	430	481	2761	1243	2185	7944	3538	340
JL66_16	cooperative	B4	207154	117216	70244	24304	14420	6806	12045	17659	2904	1949	168	683	1296	374	1249	1666	2220	152
JL66_15	cooperative	B3	342778	214133	122146	25206	31174	10625	15701	50927	5632	3400	242	960	1920	753	1730	1618	3027	257
JL66_14	competitive	B2	161822	91275	8544	605	1209	2566	1009	718	2634	1015	230	216	891	658	1017	2576	1709	366
JL66_13	competitive	B1	147583	53725	7592	467	525	2377	433	488	2896	1147	173	195	541	496	921	1437	2383	284
JL66_12	competitive	A12	104164	55175	9877	2261	1726	2017	1712	897	2008	981	189	167	370	984	592	1888	1386	219
JL66_11	competitive	A11	311100	219147	167111	81148	42060	9350	46787	13109	3463	2133	239	583	1252	668	1661	924	2597	532
JL66_10	competitive	A10	490525	314432	221945	97020	74514	11606	69949	20646	6017	3301	495	889	1077	2621	3021	1314	4503	800
JL66_9	competitive	A9	404793	249436	179069	99194	37986	5469	43882	10871	4602	3318	197	1171	1280	583	1487	935	2738	328
JL66_8	competitive	A8	366276	219039	158848	79569	28059	7173	31882	15263	4948	3101	456	1075	1201	1360	1470	1087	2973	502
JL66_7	control	A7	302543	143648	28923	1467	5349	6927	2352	6009	8166	3184	438	707	1360	2588	2357	3108	4267	811
JL66_6	control	A6	300091	174757	27041	4567	5225	7454	4642	1496	6601	2676	571	464	2022	3099	2763	6254	2997	851
JL66_5	control	A5	504616	304945	205344	118922	55125	11255	55079	4330	5003	1924	413	714	1138	1388	2389	1519	5449	523
JL66_4	control	A4	483814	243379	32006	3479	2853	6859	2414	2063	13783	5126	929	953	2713	5654	4537	8793	5930	1266
JL66_3	control	A3	484908	279615	155285	72299	45852	13763	44787	6282	7173	2592	604	818	2400	1770	3339	1965	5614	883
JL66_2	control	A2	475939	293105	205302	76037	87537	22954	84474	6373	5298	2269	655	861	2008	992	2570	1285	3664	597
JL66_1	control	A10	255487	153221	81426	30746	32251	5244	28858	6453	3483	1734	334	532	1244	881	1581	1548	3248	439
