id	shadow_prices	metabolite	name
cpd00443_c	67.14285714285694	cpd00443	4-Aminobenzoate
cpd02920_c	10.857142857143089	cpd02920	2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate
cpd00067_c	7.999999999999986	cpd00067	H+
cpd00683_c	131.0	cpd00683	Dihydropteroate
cpd00001_c	10.000000000000005	cpd00001	H2O
cpd01759_c	34.42857142857124	cpd01759	N-Acyl-L-aspartate
cpd00041_c	43.428571428571246	cpd00041	L-Aspartate
cpd00017_c	83.42857142857163	cpd00017	S-Adenosyl-L-methionine
cpd00060_c	22.571428571428584	cpd00060	L-Methionine
cpd00104_c	3.999999999999993	cpd00104	Biotin
cpd00054_c	40.42857142857123	cpd00054	L-Serine
cpd00722_c	57.14285714285684	cpd00722	O-Acetyl-L-serine
cpd00046_c	81.99999999999986	cpd00046	CMP
cpd00096_c	56.99999999999991	cpd00096	CDP
cpd00037_c	132.28571428571422	cpd00037	UDP-N-acetylglucosamine
cpd03494_c	925.1428571428544	cpd03494	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine
cpd00014_c	8.285714285714349	cpd00014	UDP
cpd03495_c	1050.1428571428542	cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala
cpd00658_c	2.7142857142856065	cpd00658	Isochorismate
cpd00020_c	3.7142857142856065	cpd00020	Pyruvate
cpd02566_c	10.000000000000005	cpd02566	2,3-Dihydroxy-2,3-dihydrobenzoate
cpd00018_c	20.857142857143003	cpd00018	AMP
cpd00006_c	72.71428571428582	cpd00006	NADP
cpd00005_c	78.71428571428582	cpd00005	NADPH
cpd00179_c	134.14285714285748	cpd00179	Maltose
cpd00027_c	72.57142857142874	cpd00027	D-Glucose
cpd00137_c	19.428571428571203	cpd00137	Citrate
cpd00260_c	18.428571428571203	cpd00260	Isocitrate
cpd00013_c	36.71428571428565	cpd00013	Ammonium
cpd00039_c	118.14285714285674	cpd00039	L-Lysine
cpd00011_c	1.714285714285686	cpd00011	CO2
