id	shadow_prices	metabolite	name
cpd00067_e	1.4328382765141066	cpd00067	H+
cpd00201_c_Eubacteriumrectale	2.878488539814515	cpd00201	10-Formyltetrahydrofolate
cpd00001_c_Eubacteriumrectale	1.2925913205318345	cpd00001	H2O
cpd01502_c_Eubacteriumrectale	3.606379832495184	cpd01502	Citraconate
cpd03593_c_Eubacteriumrectale	5.898971153027018	cpd03593	D-Erythro-3-Methylmalate
cpd02693_c_Eubacteriumrectale	1.0007192132456366	cpd02693	3-Isopropylmalate
cpd01700_c_Eubacteriumrectale	5.898971153027018	cpd01700	D-Citramalate
cpd00067_c_Eubacteriumrectale	1.1828382765141066	cpd00067	H+
cpd00956_c_Eubacteriumrectale	3.0619192234597783	cpd00956	1-(2-Carboxyphenylamino)-1-Deoxyribulose 5-Phosphate
cpd02210_c_Eubacteriumrectale	2.516892153238863	cpd02210	Indoleglycerol Phosphate
cpd00347_c_Eubacteriumrectale	1.768735495796787	cpd00347	5-10-Methenyltetrahydrofolate
cpd00022_c_Eubacteriumrectale	1.1293805332747897	cpd00022	Acetyl-Coa
cpd00123_c_Eubacteriumrectale	1.9816171552738604	cpd00123	3-Methyl-2-Oxobutanoate
cpd00005_c_Eubacteriumrectale	1.0557001267361397	cpd00005	Nadph
cpd00668_c_Eubacteriumrectale	2.852588247712421	cpd00668	Alctt
cpd02498_c_Eubacteriumrectale	3.559639638071081	cpd02498	2,3-Dihydroxy-Isovalerate
cpd19047_c_Eubacteriumrectale	2.852588247712421	cpd19047	(S)-2-Acetolactate
cpd19030_c_Eubacteriumrectale	3.559639638071081	cpd19030	(R)-2,3-Dihydroxy-3-Methylbutanoate
cpd02569_c_Eubacteriumrectale	1.9652418918700603	cpd02569	2-Oxo-3-Hydroxyisovalerate
cpd00498_c_Eubacteriumrectale	3.267318890592706	cpd00498	2-Aceto-2-Hydroxybutanoate
cpd10162_c_Eubacteriumrectale	2.5337063129677837	cpd10162	(R)-3-Hydroxy-3-Methyl-2-Oxopentanoate
cpd02535_c_Eubacteriumrectale	3.2407577033264436	cpd02535	2,3-Dihydroxy-3-Methylvalerate
cpd02229_c_Eubacteriumrectale	2.0	cpd02229	Bactoprenyl Diphosphate
cpd00117_c_Eubacteriumrectale	1.2925913205318347	cpd00117	D-Alanine
cpd11657_c_Eubacteriumrectale	1.7966947838214598	cpd11657	Starch
cpd00179_c_Eubacteriumrectale	2.0892861043532944	cpd00179	Maltose
cpd00383_c_Eubacteriumrectale	6.551238828682357	cpd00383	Shikimate
cpd02030_c_Eubacteriumrectale	6.551238828682357	cpd02030	3-Phosphoshikimate
cpd03426_c_Eubacteriumrectale	2.100447413473139	cpd03426	Sirohydrochlorin
cpd10515_c_Eubacteriumrectale	2.0	cpd10515	Fe+2
cpd00557_c_Eubacteriumrectale	2.7347708604449257	cpd00557	Siroheme
cpd01620_c_Eubacteriumrectale	4.990337080345905	cpd01620	Precorrin 2
