species	aminoacid	carbohydrate	total	aminoacid_perc	carbohydrate_perc	aminoacid_log	carbohydrate_log
amuciniphila	86	73	1994	4.31	3.66	1.93	1.86
caerofaciens	87	101	1816	4.79	5.56	1.94	2.00
blongum	77	26	1259	6.12	2.07	1.89	1.41
bpseudocatenulatum	36	30	526	6.84	5.70	1.56	1.48
sthermophilus	89	50	1645	5.41	3.04	1.95	1.70
coprococcus	105	93	2074	5.06	4.48	2.02	1.97
ahadrus	122	82	2365	5.16	3.47	2.09	1.91
rintestinalis	113	88	2118	5.34	4.15	2.05	1.94
erectale	112	53	1998	5.61	2.65	2.05	1.72
eleligans	279	207	6244	4.47	3.32	2.45	2.32
bproducta	155	143	3968	3.91	3.60	2.19	2.16
csporogenes	96	80	2749	3.49	2.91	1.98	1.90
dwelbionis	98	34	1982	4.94	1.72	1.99	1.53
fprausnitzii	182	181	3979	4.57	4.55	2.26	2.26
ashahii	77	38	1741	4.42	2.18	1.89	1.58
afinegoldii	279	207	6244	4.47	3.32	2.45	2.32
osplanchicus	97	78	2671	3.63	2.92	1.99	1.89
pct006	243	237	6922	3.51	3.42	2.39	2.37
pdistasonis	115	129	2952	3.90	4.37	2.06	2.11
pdorei	112	137	3001	3.73	4.57	2.05	2.14
pvulgatus	54	84	1597	3.38	5.26	1.73	1.92
pcaccae	133	121	3391	3.92	3.57	2.12	2.08
povatus	228	192	4953	4.60	3.88	2.36	2.28
ptheta	225	301	4811	4.68	6.26	2.35	2.48
dpiger	94	45	2364	3.98	1.90	1.97	1.65
ecoli	279	182	3391	28.78	26.43	3.15	3.11
