mouse	group	OD	relative equiv
1	control	0.3502	18.7944444444444
2	control	1.0638	58.4388888888889
3	control	0.1909	9.94444444444444
4	control	0.919	50.3944444444444
5	control	0.3988	21.4944444444444
6	control	0.1878	9.77222222222222
7	control	0.0437	1.76666666666667
8	competitive	0.2156	11.3166666666667
9	competitive	0.2878	15.3277777777778
10	competitive	0.1874	9.75
11	competitive	0.2952	15.7388888888889
12	competitive	0.0434	1.75
13	competitive	0.043	1.72777777777778
14	competitive	1.022	56.1166666666667
15	cooperative	0.0462	1.90555555555556
16	cooperative	0.0466	1.92777777777778
17	cooperative	0.1005	4.92222222222222
18	cooperative	0.2757	14.6555555555556
19	cooperative	0.0447	1.82222222222222
20	cooperative	0.0447	1.82222222222222
21	cooperative	0.0455	1.86666666666667
